age,mementos
201,2
7,1
1659,241
6,1
42,7
137,4
3050,1
6,1
6,4
6,1
7,1
7732,1407
6,8
6,4
1396,7
6,1
6,2
6929,3486
133,1
1944,27
6,1
163,2
6,1
3164,131
1396,3
6,5
382,152
6,9
6,2
6,2
5,1
166,4
4149,735
3618,317
1226,4
9,1
18,30
7,3
7814,1172
3655,22
5,2
151,3
2104,21
6,3
6,3
6,8
153,1
10,8
1469,38
6,1
2818,89
691,8
399,6
6,64
6,1
6,1
6,1
6,4
6,2
6,1
207,3
6,1
6,3
6,3
2816,260
499,1
7,2
14,1
3589,65
4859,324
1269,3
1285,3
6,1
1105,3
1296,13
460,4
6653,2007
6,1
1396,6
7,1
408,7
7719,23243
5,2
5,1
2522,6
2,1
6,1
6,3
16,18
5,2
535,45
331,2
4353,100
213,44
7,10
8,2
6,1
3309,1201
5,1
6,2
7,1
6,12
5,1
670,23
316,2
8,1
266,2
6,2
7,1
6,1
86,2
6,1
6,1
6,1
6,1
6,1
7,1
1370,1939
6,1
153,1
7,12
6,1
3795,2336
6,1
7014,345
3706,113
7,1
6,10
245,5
83,36
929,28
6294,253
6,1
7,3
24,1
1704,84
7,6
6473,4615
1765,64
8,2
906,58
9,20
137,7
7,1
6,2
1014,22
2135,24
5,2
682,12
6,3
1485,648
3117,13040
6,10
6,2
6,1
