TFIDF 	 TF 	 IDF 	 URL
0.0213 	 0.0138 	 1.5353 	 http://www.pressofatlanticcity.com/sports/local/highschool/football/atlantic-city-football-players-sign-to-play-division-ii-football/article_d481acc6-a0d5-5d8a-9900-230622b6e8f8.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share
0.0076 	 0.0049 	 1.5353 	 https://www.azcentral.com/story/sports/ncaaf/2018/02/07/asu-football-herm-edwards-arizona-football-kevin-sumlin-contract/311731002/
0.0051 	 0.0033 	 1.5353 	 http://www.citizen-times.com/story/sports/high-school/hshuddle/2018/02/07/wnc-talent-display-during-national-signing-day/316890002/
0.0028 	 0.0019 	 1.5353 	 https://www.postandcourier.com/sports/citadel-football-recruiting-class-boosted-by-pair-of--star/article_bc681706-0bff-11e8-baca-7f18d5c08a83.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share
0.0019 	 0.0013 	 1.5353 	 https://www.sportbuzzbusiness.fr/liga-sengage-football-feminin-nigeria.html?utm_source=Sociallymap&utm_medium=Sociallymap&utm_campaign=Sociallymap
0.001 	 0.0006 	 1.5353 	 http://www.the42.ie/liam-whelan-munich-air-disaster-busby-babes-60th-anniversary-3785714-Feb2018/?utm_source=shortlink
0.0011 	 0.0007 	 1.5353 	 https://www.postandcourier.com/sports/the-citadel-football-signs-new-players-awaits-at-least-one/article_bc681706-0bff-11e8-baca-7f18d5c08a83.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share
0.0008 	 0.0005 	 1.5353 	 https://elpasoheraldpost.com/videoinfo-dimel-announces-2018-utep-football-signing-class/
0.0007 	 0.0004 	 1.5353 	 http://www.wbur.org/onlyagame/2018/02/02/zac-easter-cte-concussion-football
0.0007 	 0.0004 	 1.5353 	 http://www.nationalreview.com/article/456152/philadelphia-eagles-win-god-loves-them-us-all
